Compuesto,fase,fukui
CA 69,agua,0.2083
CA 69,decalina,0.2224
CA 33,gas,0.2577
CA 33,agua,0.2635
CA 33,decalina,0.2609
CA 41,gas,0.2593
CA 41,agua,0.2659
CA 41,decalina,0.2633
CA 32,gas,0.2599
CA 32,agua,0.2628
CA 32,decalina,0.2618
CA 81,gas,0.2193
CA 81,agua,0.229
CA 81,decalina,0.2236
CA 42,gas,0.2565
CA 42,agua,0.2631
CA 42,decalina,0.2603
CA 59,gas,0.2471
CA 59,agua,0.2598
CA 59,decalina,0.2528
CA 28,gas,0.1592
CA 28,agua,0.1323
CA 28,decalina,0.1492
CA 34,gas,0.2559
CA 34,agua,0.2665
CA 34,decalina,0.2609
CA 47,gas,0.247
CA 47,agua,0.2565
CA 47,decalina,0.2513
CA 60,gas,0.2499
CA 60,agua,0.2578
CA 60,decalina,0.2503
CA 46,gas,0.2325
CA 46,agua,0.2178
CA 46,decalina,0.231
CA 61,gas,0.243
CA 61,agua,0.256
CA 61,decalina,0.2478
CA 26,gas,0.1812
CA 26,agua,0.152
CA 26,decalina,0.1679
CA 27,gas,0.1674
CA 27,agua,0.1434
CA 27,decalina,0.1558
CA 68,gas,0.2259
CA 68,agua,0.2225
CA 68,decalina,0.2278
CA 87,gas,0.1154
CA 87,agua,0.0857
CA 87,decalina,0.1031
CA 88,gas,0.1124
CA 88,agua,0.0836
CA 88,decalina,0.1005
CA 18,gas,0.3698
CA 18,agua,0.3664
CA 18,decalina,0.3699
CA 62,gas,0.0556
CA 62,agua,0.024
CA 62,decalina,0.0565
CA 86,gas,0.1408
CA 86,agua,0.1232
CA 86,decalina,0.1342
CA 29,gas,0.1604
CA 29,agua,0.1433
CA 29,decalina,0.1552
CA 103,gas,0.1
CA 103,agua,0.094
CA 103,decalina,0.0974
CA 23,gas,0.2391
CA 23,agua,0.2072
CA 23,decalina,0.2274
CA 24,gas,0.1938
CA 24,agua,0.1561
CA 24,decalina,0.1789
CA 25,gas,0.2084
CA 25,agua,0.1775
CA 25,decalina,0.1967
CA 30,gas,0.1052
CA 30,agua,0.0797
CA 30,decalina,0.095
CA 21,gas,0.2308
CA 21,agua,0.1935
CA 21,decalina,0.2159
CA 22,gas,0.2039
CA 22,agua,0.1679
CA 22,decalina,0.1896
CA 19,gas,0.3552
CA 19,agua,0.3535
CA 19,decalina,0.3566
CA 43,gas,0.2472
CA 43,agua,0.255
CA 43,decalina,0.2511
CA 17,gas,0.3759
CA 17,agua,0.3653
CA 17,decalina,0.3727
CA 20,gas,0.3422
CA 20,agua,0.3409
CA 20,decalina,0.3433
CA 16,gas,0.3851
CA 16,agua,0.3662
CA 16,decalina,0.378
